fault_type,phases,location_km,r_fault,fault_start,Vrms_a,Vrms_b,Vrms_c,Irms_a,Irms_b,Irms_c,Vrms_unbalance,Irms_unbalance,Vseq0,Vseq1,Vseq2,Iseq0,Iseq1,Iseq2,Vseq0_ratio,Vseq2_ratio,Iseq0_ratio,Iseq2_ratio,Vh2_energy,Ih2_energy,Vh3_energy,Ih3_energy,Vh5_energy,Ih5_energy,Vdwt_L1,Vdwt_L2,Vdwt_L3,Idwt_L1,Idwt_L2,Idwt_L3,Zmag_a,Zang_a,Zmag_b,Zang_b,Zmag_c,Zang_c
LG,C,13.8981690400433,1.62591661013374,0.086617960497053,127634.66663867,128175.347786571,76617.3896443845,301.039842196888,336.052254253102,10705.3689266629,0.465286172354096,2.75187079607668,626773.466781891,3996269.26753545,662478.786078648,120733.183656492,124915.178103169,121990.880808734,0.156839648387425,0.165774311420972,0.966521326622216,0.976589736012733,262218.099596424,13086.1881944094,138874.64277777,9743.17383396789,74742.4963980564,6110.27186750805,41228081.2437598,548740277.096876,4673993686.19714,2625.58624172909,12111.9123650062,20388.3874797721,424.232287345668,0.295846725618442,378.461184578124,-0.0014157069188264,7.38862046773699,1.35711651768251
LG,C,104.854270211219,19.0319299392374,0.082391884918766,126646.694848391,126708.914754823,116877.862589513,335.487463403242,346.276023158664,2299.1672463423,0.0796609672297216,1.97624160731472,111556.431405624,4445618.99670568,105665.439913003,26696.0619770592,34183.4043921773,28045.0586657022,0.0250935654828416,0.0237684425928718,0.780965572357899,0.820429069706695,252087.457109768,13880.5047437383,124937.995156543,9341.55632381205,63506.4294982886,5633.20075874865,17844510.0430608,17031445.6621273,27962493.9438505,575.827794419038,926.175471162756,5389.10295326584,367.375972943374,0.328173037119868,369.526007358045,-0.106745487144027,48.3499581997201,1.10003468521865
LG,B,20.1047997790626,3.1820520563189,0.0805083825348819,126996.915097077,87431.8148561031,126051.578002163,266.771103855528,7818.52037164418,244.772443068369,0.348611352693687,2.72761937959419,480792.386189137,4094971.24536196,508391.16632115,91094.1064567936,94905.6686320434,92092.4212632338,0.117410442560146,0.124150118733273,0.959838413962528,0.970357435858894,268157.606783849,2631.47272002102,142642.969333524,893.88505360617,78332.5664336359,312.857497922268,182741340.548905,580471838.300465,2422692229.60113,4489.64099047408,36353.5630378891,24638.144855922,475.35765010858,-0.115951770625945,11.2216239227351,1.20862372606133,517.251646188932,0.234175373081056
LG,C,110.777159396027,0.384899549143965,0.0882076584607126,121506.881454509,122992.006711023,112517.451998558,237.877086009282,278.294829896796,1957.46190091211,0.0880174395454499,2.08549640750289,118455.769216109,4292868.69507131,139458.613200762,22699.2094444903,26087.8654658595,23841.2030387401,0.0275936157451268,0.032486111993326,0.870106045024114,0.913880940892866,270506.81468712,2284.85980090666,141356.844269944,1275.81921382515,75645.3977902457,696.268317144798,105617624.864929,411185889.568785,4440545463.25025,2239.27085350957,2626.04148475916,13498.0837753471,511.766970274899,0.333356499675208,440.921617762794,-0.155159736491808,56.4839350704722,1.39610944218942
LG,C,127.00448262628,43.0599041220225,0.0926680751302085,127242.484560943,127173.403718331,120620.462329435,358.647280366286,346.561083196167,1666.39829840789,0.0529710431058805,1.66954820296252,77525.5253806661,4503766.3445732,80480.5417579726,16995.2321551782,26823.7434893873,18242.5455319795,0.017213487434592,0.0178696085899149,0.633589124548136,0.680089471423594,254055.283715456,8829.96538616031,125074.682025916,6021.47145539291,62682.6016610914,3657.95349056992,32442249.6497651,53989673.3090268,16567275.1981565,1334.25516710277,1118.95963827579,3219.86769273988,344.951187896789,0.288583193570031,370.155257740622,-0.0868822154099275,71.9520141514655,0.869484985462137
LG,C,20.4072694338747,2.13553894313128,0.0863600694994373,130398.979407769,130903.790501121,89735.5105787017,327.935994867746,365.024611632494,8925.40372901084,0.351827269648921,2.68157893532467,502327.29129963,4219151.90419511,540523.452896662,98564.2400334125,102831.966355048,99934.217118824,0.119058830472552,0.128111872994924,0.958498057813477,0.971820540441768,276217.71460492,17764.700261696,146583.528292719,12659.2078170379,79837.5292772121,7797.55502926848,43937058.1932584,529049185.637392,4334024754.88951,2586.79937340407,17593.4054929131,18584.2306244311,397.716885105051,0.334233925269456,356.214799777663,-0.0109028998221411,10.5719216615837,1.41543648668099
LG,A,36.0950934659022,1.68807585701814,0.0883482200629756,97179.7947396442,124326.003138675,124550.266877861,6387.38125525663,335.8778728903,380.28200189692,0.237277784661256,2.55569860258131,315706.138536424,4155605.54094457,298871.366553734,87144.576153029,92992.2285396118,88960.6957903515,0.0759711515989047,0.0719200519897586,0.937116762557969,0.956646562690992,245175.891280838,31244.2237177522,123996.38016892,20881.1244764152,64743.9153240871,12569.8861572628,23620676.3919815,259466918.831903,2618790635.08593,4577.7516447238,34997.477208968,912236.906250533,13.1852948500447,1.36405684831622,367.458093173672,0.382343703882836,328.599395052219,-0.00793967140051295
LG,B,141.049491580935,47.6247607077755,0.0872725920475859,123924.029960449,118746.873737064,124384.192041945,275.03171666513,1472.71588721726,291.365366043557,0.0460747040725136,1.76206642759017,71581.6593763946,4408536.07589908,92786.6863364532,15001.2795732142,22181.742414706,15869.8599309335,0.0162370587750674,0.0210470516150895,0.676289503866587,0.715446948824755,257715.563085166,6095.99658684523,130151.209306329,4223.82083616576,67368.047287604,2586.69754419161,82470104.1556893,541332532.410065,4984770527.50739,1333.41705967156,5124.27735415079,24810.2106717381,448.883591915064,-0.166877757239378,82.318900019833,0.899931148717779,418.355769569993,0.235367835928263
LG,A,75.3750632520406,1.39323232118306,0.0921912866795979,109284.492661811,122727.895089846,122873.643910883,3587.25084163204,332.341715841615,382.552152949844,0.114874776997804,2.26973475506379,163442.413779515,4270421.33255688,197153.923912148,39860.1894835337,41392.904746523,40807.9491902935,0.0382731353773979,0.0461673236804618,0.962971546129991,0.98586821676813,269695.844813726,9957.80534298509,140862.854554872,6843.79650166075,75143.868956416,4154.74138101755,407383229.474255,110771468.190701,65097761.1114355,22481.2217575009,196537.894796796,2161820.68738765,32.4129428884409,1.722359173982,369.794748006907,0.427283397312975,320.507927294274,-0.032973321029401
LG,A,38.8877380116101,24.0404903832179,0.099713009082212,116366.143356911,130165.058944882,129542.016817241,3751.87766891988,250.556003007884,232.193305213072,0.110076295410123,2.49350253059816,211808.512702047,4507281.71019419,223479.255719926,42353.9565899395,49057.8406455659,43095.1513814385,0.0469925170692014,0.049581825607756,0.863347347370544,0.878455937184735,220973.828450824,12120.438856765,100865.30350987,8718.82921190415,46928.5584532181,5460.30217104793,98269387.0559427,228432174.337048,2520703631.03066,21369.6539653193,185814.257181046,2074149.39456734,31.2399563076752,0.649764167499195,509.699296156943,0.119016789941675,556.980869647112,-0.17405285283779
